State,State_Short,Year,Total,Number,Percent
Maryland,MD,1988,4650,457,9.8
Massachusetts,MA,1988,5861,497,8.5
Michigan,MI,1988,9223,1112,12.1
Minnesota,MN,1988,4421,514,11.6
Mississippi,MS,1988,2588,704,27.2
Missouri,MO,1988,5201,662,12.7
Montana,MT,1988,795,116,14.6
Nebraska,NE,1988,1600,164,10.3
Nevada,NV,1988,1084,93,8.6
New Hampshire,NH,1988,1089,73,6.7
New Jersey,NJ,1988,7628,475,6.2
New Mexico,NM,1988,1495,343,23
New York,NY,1988,17635,2369,13.4
North Carolina,NC,1988,6312,796,12.6
North Dakota,ND,1988,654,76,11.6
Ohio,OH,1988,10903,1356,12.4
Oklahoma,OK,1988,3146,543,17.3
Oregon,OR,1988,2727,285,10.4
Pennsylvania,PA,1988,12120,1246,10.3
Rhode Island,RI,1988,1008,99,9.8
South Carolina,SC,1988,3405,528,15.5
South Dakota,SD,1988,707,101,14.2
Tennessee,TN,1988,4901,883,18
Texas,TX,1988,16686,3006,18
Utah,UT,1988,1662,162,9.8
Vermont,VT,1988,532,43,8.1
Virginia,VA,1988,5970,647,10.8
Washington,WA,1988,4625,402,8.7
West Virginia,WV,1988,1880,337,17.9
Wisconsin,WI,1988,4696,364,7.8
Wyoming,WY,1988,454,43,9.6
Alabama,AL,1987,3989,851,21.3
Alaska,AK,1987,499,60,12
Arizona,AZ,1987,3459,444,12.8
Arkansas,AR,1987,2468,537,21.8
California,CA,1987,27877,3443,12.3
Colorado,CO,1987,3184,398,12.5
Connecticut,CT,1987,3127,207,6.6
Delaware,DE,1987,637,42,6.6
D.C.,DC,1987,587,88,14.9
Florida,FL,1987,12262,1523,12.4
Georgia,GA,1987,6049,883,14.6
Hawaii,HI,1987,1086,95,8.8
Idaho,ID,1987,991,150,15.1
Illinois,IL,1987,11503,1655,14.4
Indiana,IN,1987,5398,597,11.1
Iowa,IA,1987,2892,419,14.5
Kansas,KS,1987,2435,225,9.2
Kentucky,KY,1987,3666,634,17.3
Louisiana,LA,1987,4268,1071,25.1
Maine,ME,1987,1144,134,11.7
Maryland,MD,1987,4558,420,9.2
Massachusetts,MA,1987,5845,477,8.2
Michigan,MI,1987,8973,1095,12.2
Minnesota,MN,1987,4294,484,11.3
Mississippi,MS,1987,2553,637,25
Missouri,MO,1987,5100,716,14
Montana,MT,1987,798,144,18
Nebraska,NE,1987,1610,191,11.9
Nevada,NV,1987,1026,107,10.4
New Hampshire,NH,1987,1054,51,4.8
New Jersey,NJ,1987,7503,626,8.3
New Mexico,NM,1987,1443,280,19.4
New York,NY,1987,17470,2506,14.3
North Carolina,NC,1987,6183,853,13.8
North Dakota,ND,1987,655,75,11.4
Ohio,OH,1987,10799,1375,12.7
Oklahoma,OK,1987,3209,547,17
Oregon,OR,1987,2709,384,14.2
Pennsylvania,PA,1987,11770,1249,10.6
Rhode Island,RI,1987,974,79,8.1
South Carolina,SC,1987,3274,512,15.6
South Dakota,SD,1987,714,109,15.2
Tennessee,TN,1987,4679,792,16.9
Texas,TX,1987,16607,2917,17.6
Utah,UT,1987,1689,173,10.2
Vermont,VT,1987,534,50,9.3
Virginia,VA,1987,5871,583,9.9
Washington,WA,1987,4489,450,10
West Virginia,WV,1987,1889,408,21.6
Wisconsin,WI,1987,4738,428,9
Wyoming,WY,1987,451,49,10.8
Alabama,AL,1986,4025,959,23.8
Alaska,AK,1986,517,59,11.4
Arizona,AZ,1986,3386,484,14.3
Arkansas,AR,1986,2342,499,21.3
California,CA,1986,27082,3453,12.7
Colorado,CO,1986,3157,426,13.5
Connecticut,CT,1986,3125,186,6
Delaware,DE,1986,639,79,12.4
D.C.,DC,1986,602,77,12.8
Florida,FL,1986,11779,1342,11.4
Georgia,GA,1986,6023,879,14.6
Hawaii,HI,1986,1024,109,10.7
Idaho,ID,1986,973,180,18.5
Illinois,IL,1986,11445,1517,13.3
Indiana,IN,1986,5312,674,12.7
Iowa,IA,1986,2907,376,12.9
Kansas,KS,1986,2433,269,11.1
Kentucky,KY,1986,3560,630,17.7
Louisiana,LA,1986,4338,953,22
Maine,ME,1986,1127,115,10.2
Maryland,MD,1986,4504,414,9.2
Massachusetts,MA,1986,5846,538,9.2
Michigan,MI,1986,9112,1267,13.9
Minnesota,MN,1986,4131,517,12.5
